filename,contract_type,contains_nda,contains_termination,contains_indemnity,contains_force_majeure,contains_data_protection
contracts_advanced/contract068.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract069.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract070.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract072.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract071.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract073.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract074.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract075.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract076.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract077.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract078.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract080.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract079.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract081.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract082.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract083.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract084.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract085.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract086.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract087.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract089.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract088.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract090.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract091.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract093.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract092.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract095.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract094.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract096.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract097.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract098.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract100.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
contracts_advanced/contract099.txt,Data Protection Clause,Absent,Absent,Absent,Absent,Present
